Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD)
2006,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",2696.85,2030.8
2006,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3894.41,2932.6
2006,Australia,AUS,Oceania,D,Manufacture of paper products and printing,6860.18,5165.9
2006,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,4752.15,3578.5
2006,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,7396.01,5569.4
2006,Australia,AUS,Oceania,G,Manufacture of rubber and plastics products,5432.07,4090.5
2006,Australia,AUS,Oceania,H,Manufacture of other non-metallic mineral products,4247.52,3198.5
2006,Australia,AUS,Oceania,I,Manufacture of basic metals,13713.98,10327.0
2006,Australia,AUS,Oceania,J,"Manufacture of fabricated metal products, machinery and equipment",19924.37,15003.6
2006,Australia,AUS,Oceania,K,Manufacture of transport equipment,9385.32,7067.4
2007,Australia,AUS,Oceania,A,"Manufacture of food products, beverages and tobacco products",20847.45,17444.5
2007,Australia,AUS,Oceania,B,"Manufacture of textiles, wearing apparel, leather and related products",3006.92,2516.1
2007,Australia,AUS,Oceania,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4010.43,3355.8
2007,Australia,AUS,Oceania,D,Manufacture of paper products and printing,6661.7,5574.3
2007,Australia,AUS,Oceania,E,Manufacture of coke and refined petroleum products,5284.61,4422.0
2007,Australia,AUS,Oceania,F,Manufacturing of chemicals and pharmaceutical products,7800.72,6527.4
