Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
AUS,Australia,2001,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,2913700000.0,1507000000.0
AUS,Australia,2001,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3230400000.0,1670800000.0
AUS,Australia,2001,17-18,Manufacture of paper products and printing,Current prices,6871260000.0,3553900000.0
AUS,Australia,2001,19,Manufacture of coke and refined petroleum products,Current prices,3396090000.0,1756500000.0
AUS,Australia,2001,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,6406460000.0,3313500000.0
AUS,Australia,2001,22,Manufacture of rubber and plastics products,Current prices,3973420000.0,2055100000.0
AUS,Australia,2001,23,Manufacture of other non-metallic mineral products,Current prices,3130440000.0,1619100000.0
AUS,Australia,2001,24,Manufacture of basic metals,Current prices,10414300000.0,5386400000.0
AUS,Australia,2001,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,16094750000.0,8324400000.0
AUS,Australia,2001,29-30,Manufacture of transport equipment,Current prices,7989760000.0,4132399999.9999995
AUS,Australia,2002,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19877530000.0,10799700000.0
AUS,Australia,2002,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,2850850000.0,1548900000.0
AUS,Australia,2002,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3538110000.0,1922300000.0
AUS,Australia,2002,17-18,Manufacture of paper products and printing,Current prices,7038500000.0,3824100000.0
AUS,Australia,2002,19,Manufacture of coke and refined petroleum products,Current prices,3260190000.0,1771300000.0
AUS,Australia,2002,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,6250740000.0,3396100000.0
AUS,Australia,2002,22,Manufacture of rubber and plastics products,Current prices,4003220000.0,2175000000.0
AUS,Australia,2002,23,Manufacture of other non-metallic mineral products,Current prices,3540510000.0,1923600000.0
AUS,Australia,2002,24,Manufacture of basic metals,Current prices,10083890000.0,5478700000.0
AUS,Australia,2002,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,16625619999.999998,9032900000.0
AUS,Australia,2002,29-30,Manufacture of transport equipment,Current prices,8074370000.0,4386900000.0
AUS,Australia,2003,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19118500000.0,12399200000.0
AUS,Australia,2003,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,2997170000.0,1943800000.0
AUS,Australia,2003,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,3489350000.0,2263000000.0
AUS,Australia,2003,17-18,Manufacture of paper products and printing,Current prices,6966830000.0,4518300000.0
AUS,Australia,2003,19,Manufacture of coke and refined petroleum products,Current prices,2917300000.0,1892000000.0
AUS,Australia,2003,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,6595070000.0,4277200000.0
AUS,Australia,2003,22,Manufacture of rubber and plastics products,Current prices,4061090000.0,2633800000.0
AUS,Australia,2003,23,Manufacture of other non-metallic mineral products,Current prices,4870600000.0,3158800000.0
AUS,Australia,2003,24,Manufacture of basic metals,Current prices,9900940000.0,6421200000.0
AUS,Australia,2003,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,16849410000.0,10927600000.0
AUS,Australia,2003,29-30,Manufacture of transport equipment,Current prices,7953650000.0,5158300000.0
AUS,Australia,2004,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19731630000.0,14511200000.0
AUS,Australia,2004,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,2932710000.0,2156800000.0
